title,time,url,content
传腾讯音乐邀投行投标 安排规模最高40亿美元美国IPO,2018-05-01 11:25,http://finance.sina.com.cn/stock/usstock/c/2018-05-01/doc-ifzvpatr7893205.shtml,"　　汤森路透旗下IFR周一援引消息人士报导称，中国最大的音乐流媒体公司—腾讯音乐娱乐集团已邀请多家投行下周投标（pitch），为其安排规模最高为40亿美元的美国IPO。
　　腾讯音乐娱乐集团是中国科技巨擘腾讯控股旗下公司。IFR报导称，腾讯音乐计划在今年底之前上市，筹资规模预计介于30亿至40亿美元之间。
　　腾讯发言人对IPO计划未予置评。
　　据IFR报导，腾讯音乐寻求的IPO估值约为250亿美元。
　　IFR根据Spotify在监管文件中披露的信息估算，2017年底时，腾讯音乐与欧洲Spotify进行换股时，它的估值约为123亿美元。根据换股协议，Spotify持有约9%的腾讯音乐股权，腾讯控股持有7.5%的Spotify股权。
　　截至上周五，Spotify的市值为285亿美元。
　　IFR称，腾讯音乐娱乐集团去年年底首次开始与银行业者讨论计划IPO事宜。不过进展缓慢，因为该公司专注于Spotify交易，而且研究在香港上市的可能性。香港交易所公布，计划通过放松上市规则鼓励更多科技公司在香港上市。
　　据IFR，腾讯音乐娱乐集团已经决定在美国上市，因为Spotify就在美国上市，而且香港交易所新规现在不容许加权投票权。
　　港交所将在7月31日之前就此另再咨询市场意见。（完）
　　（文章来源：路透中文网）
责任编辑：张玉洁 SF107"
斯柯达拟将SUV的部分生产迁往德国,2018-05-01 11:20,http://finance.sina.com.cn/stock/usstock/c/2018-05-01/doc-ifzvpatr7875861.shtml,"　　新浪美股讯 北京时间1日路透社称，大众汽车的捷克子公司斯柯达周一表示，计划将其SUV车型的部分生产从捷克迁往德国，以满足对这种车型不断增长的需求。
　　今年3月路透援引知情人士称，大众汽车和斯柯达管理层一直在寻找途径提高斯柯达的产量，包括在捷克以外建设一个新厂。
　　斯柯达周一表示，将从今年年底开始把新款Karoq SUV的部分生产迁到大众汽车在德国北部城镇Osnabrueck的一座工厂，以满足对这种车型的强劲需求。
　　Osnabrueck工厂还生产保时捷卡宴SUV，该厂将负责斯柯达Karoq的喷漆和组装。但斯柯达表示，这一措施将只是暂时的，Karoq的生产大部分仍将留在捷克国内。
责任编辑：于健 SF069"
韩国4月出口时隔一年半首降 对华出口飙升23%,2018-05-01 10:55,http://finance.sina.com.cn/stock/usstock/c/2018-05-01/doc-ifzvpatr7774869.shtml,"　　新浪美股讯 北京时间1日路透社称，韩国产业通商资源部周二发布的初步核实数据显示，韩国4月出口同比下降1.5%，至500.6亿美元。这是韩国出口18个月以来首次同比下滑。
　　这一数字远逊于接受路透调查的经济学家平均预期的增长4.1%。
　　不过，韩国4月对华出口依然强劲，增幅达23%，连续第18个月实现增长，得益于中国市场对韩国存储芯片、石化产品和机械的强劲需求。
　　进口增长14.5%，至434亿美元，低于经济学家平均预期的18.4%，但远超3月修正后的5.2%的增幅。
　　4月贸易顺差达66.1亿美元，连续75个月实现顺差。
责任编辑：于健 SF069"
美国公布赴华贸易代表团名单 美财长称谨慎乐观,2018-05-01 10:33,http://finance.sina.com.cn/stock/usstock/c/2018-05-01/doc-ifzvpatr7686395.shtml,"　　新浪美股 北京时间1日早间消息，美国白宫当地时间周一公布了本周即将访华的美国贸易代表团的完整名单 。同一天，美国财政部长努钦（Steven Mnuchin）表示，对此次北京之行“谨慎乐观”。
　　美国代表团成员包括：
　　美国财长史蒂文-努钦（Steven Mnuchin）、美国驻华大使泰瑞-布兰斯塔德（Terry Branstad）、美国商务部长威尔伯-罗斯（Wilbur Ross）、美国贸易代表罗伯特-莱特希泽（Robert Lighthizer）、美国国家经济委员会主任拉里-库德洛（Larry Kudlow）、白宫贸易顾问彼得-纳瓦罗（Peter Navarro）、美国总统国际经济事务顾问埃弗雷特-埃森斯塔特（Everett Eissenstat）。
　　美国财长努钦在周一播出的《福克斯新闻》采访中说，美方代表将于本周四、周五在北京与中方进行贸易对话，届时美方将提出贸易不均衡、知识产权、联合科技和合资企业的问题。
　　在采访过程中，努钦表示：我们希望就贸易和贸易不平衡问题进行坦率的讨论，特朗普总统在过去的一年里非常关注贸易逆差问题，我们希望纠正这一点。
　　努钦称，对与中国的贸易谈判持谨慎乐观态度。他说，“我不想预测未来会发生什么或不会发生什么。我们将进行非常坦率的讨论，这些是特朗普总统去年一直关注的问题。我们将取得进展，这是我们的目标。”
　　当被问及是否担心中国会对农产品和飞机等产品征收关税，让这些产品价格上升，增加消费者负担时，努钦表示，他不担心中国的报复行为。只是担心能否为美国公司和美国工人获得一个好的交易，这也是特朗普总统一直关注的问题。
　　《华尔街日报》的报道援引不具名中国官员的话称，中方可能开出的条件包括：下调对进口汽车的关税，放宽中国对进口电影分帐片数量的配额，购买更多美国商品，以及提议协商中美自由贸易协定。但中国政府开出的条件是有底线的，中国不会停止通过国内补贴及其他支持手段发展先进技术的计划，也不会通过人民币升值来帮助提高美国出口。
责任编辑：于健 SF069"
迪士尼将为推特制作节目 吸引在线观众,2018-05-01 09:54,http://finance.sina.com.cn/stock/usstock/c/2018-05-01/doc-ifzvpatr7530700.shtml,"　　新浪美股讯 北京时间1日路透社称，迪士尼公司周一宣布，将推出专门为社交网络推特（Twitter）制作的体育、新闻和娱乐现场节目，通过数字视频吸引在线观众和广告收入。
　　推特还宣布，与美国多个媒体达成30多项协议，包括康卡斯特旗下的有线电视网NBC和MSNBC，维亚康姆旗下的Comedy Central、MTV与BET等，这些公司也将为推特开发内容。
　　迪士尼旗下的ESPN体育频道计划推出推特版的《SportsCenter》电视节目，播放突发新闻和分析。推特还将还将直播ESPN的“梦幻焦点直播”（Fantasy Focus Live）播客。
　　根据协议，迪士尼旗下的ABC广播网、迪士尼频道、Freeform和该公司旗下的电影制片厂也将为推特制作现场节目。
　　两公司表示，此项交易将扩大推特的流视频供应，并帮助迪士尼和其他公司在传统电视收视率日渐下降之际获得在线观众。过去一年，推特上的视频浏览量增加了一倍。
责任编辑：于健 SF069"
国内增值税税率调整 苹果全线产品价格下调近1%,2018-05-01 09:47,http://finance.sina.com.cn/stock/usstock/c/2018-05-01/doc-ifzvpatr7503272.shtml,"　　国内增值税税率调整，苹果全线产品价格下调近1%
　　来源：36氪
　　36氪获悉，因相应国内增值税税率调整政策，今日苹果官方线上商店Apple Store全线产品价格下调近1%。
　　4月30日晚间，Apple Store 开启维护，目前已完成维护。维护之后最大的变化是全线产品价格下调，下调幅度多在0.85%——0.9%之间。以iPhone为例，原价8388 元起售价的iPhoneX已经降价到了8316 元，iPhone 8 Plus 起售价格从6688元下降至6630元，iPhone 8 起售价格从5888元下降至5837元。再如配件AirPods，原价1288元，现价1276元。
　　出现这一变化的原因主要是因为中国增值税税收政策调整。2018年4月4日，国家财政部联合税务总局发布《关于调整增值税税率的通知》，要求“纳税人发生增值税应税销售行为或者进口货物，原适用17% 和11% 税率的，税率分别调整为16%、10%”，通知自2018年5月1日起执行。
　　苹果此次调整价格幅度并不大，如果按照以往售价看并不足1%，这是因为以往我们常讲的报价都是含有增值税及其他法定税费的价格，现在实际降价则是在不含增值税及其他法定税费的价格基础上进行16%的税率计费，计算最终产品含税费价格，因此对用户来说实际的降价幅度可能正在0.85%——0.9%左右。此前苹果商品售价多以88结尾，此次降价后，苹果也打破了这一规则。
　　虽然主动遵守税法降价的行为有助于增加用户对苹果的好感，但可能对中国市场销量的影响并不大。美国东部时间5月1日（北京时间5月2日凌晨），苹果即将发布2018财年第二季度财报。但多位分析师认为，苹果在中国市场的表现比较低迷。来自瑞银和Gartner的数据显示，在过去的三个财年，苹果在中国智能手机市场的份额已经流失了1/3或更多。
　　截至发稿前，知名“进口”3C数码品牌，如三星、索尼等暂未调整价格。
责任编辑：张玉洁 SF107"
中国与世界思想对话为世界经济发展提供更多理论支撑,2018-05-01 09:41,http://finance.sina.com.cn/china/gncj/2018-05-01/doc-ifzvpatr7481455.shtml,"　　新浪财经讯 2018年4月28日上午，由清华大学中国经济思想与实践研究院以及中国经济50人论坛主办，清华大学中国与世界经济研究中心（CCWE）承办的“中国与世界思想对话会”在清华大学主楼接待厅隆重举行。论坛主旨是向世界积极、正面地传播习近平新时代中国特色社会主义思想，并就改革开放以来中国取得的伟大成就中所蕴含的丰富思想内涵进行研讨。清华大学校长邱勇教授出席并致欢迎辞。
　　邱勇校长首先代表清华大学对来自全球的思想领袖以及中方各界嘉宾表示热烈欢迎。邱勇校长表示，在清华107周年校庆来临之际召开此次研讨会具有重要的意义。始终保持思想的交流与对话是全球化进程中不可或缺的部分，大学有责任、也有能力在这个方面发挥更大作用，而清华大学在这方面始终保持着积极的姿态。邱勇表示，成立清华大学中国经济思想与实践研究院意义重大，研究院的重要使命就是对中国特色经济问题进行系统性、长期性研究，总结中国经济发展经验，并升华到具有普遍意义的经济学思想，为世界经济发展提供更多的理论支撑。
　　随后，清华大学中国经济思想与实践研究院院长、中国与世界经济研究中心主任李稻葵教授主持了对话会。与会嘉宾就新时代习近平中国特色社会主义思想、中国改革改革开放四十年的实践与经验、以及近期的中美贸易关系等议题进行了研讨。来自美国、英国、新加坡等地，具有全球影响力的思想领袖，及中国政府、学者、企业家代表均就相关议题展开了热烈而富有深度的交流。
　　参加此次对话会的外国嘉宾有：美国CNN评论员Carl Bernstein、美国纽约时报专栏作家Thomas Friedman，美国著名历史学家、斯坦福大学胡佛研究院高级研究员Niall Ferguson教授，新加坡国立大学教授、新加坡李光耀公共政策学院前任院长、新加坡前任驻联合国大使 Kishore Mahbubani，以及英国《金融时报》的副主编兼首席经济评论员Martin Wolf先生。出席对话会的中国嘉宾有：中财办副主任杨伟民，国务院宗教事务局前局长叶小文，证监会副主席方星海，中化集团董事长宁高宁，华润集团董事长傅育宁，中央党校原副校长李君如，国防大学国务防务学院原院长朱成虎少将，中国人民大学国际关系学院院长杨光斌，中国国际问题研究院常务副院长阮宗泽，南京大学国际关系研究院院长朱锋，以及北极光风险投资基金创始人邓锋。中国经济50人论坛代表、清华大学科研院院长周羽、社会科学学院院长彭凯平、经管学院党委书记高建、苏世民书院常务副院长潘庆中及清华大学部分师生亦参与了本次活动。
责任编辑：刘万里 SF014"
任志强预言或成现实:更多资金入楼市新一轮暴涨要来?,2018-05-01 09:36,http://finance.sina.com.cn/china/gncj/2018-05-01/doc-ifzvpatr7465306.shtml,"　　任志强预言或成现实：更多资金流入楼市股市 新一轮暴涨要来了？
　　来源：直面传媒
　　2017年底，一向语不惊人死不休的任志强针对楼市调控炮轰，他说：2018年房价称调控错了，未来房价将暴涨更高！在任志强看来错误的调控手段会让需求在一段时间以后集中爆发，他认为下一轮可能会比这一轮上涨得更高。
　　根据任志强的预测，在2018年下半年，楼市将迎来报复性上涨。最强劲的涨幅将在5-6月份开始。
　　彼时的中．美贸易战还没有开始。
　　如今种种迹象表明，任志强的预言似乎要成为现实了。过去的 一年 房价受调控影响，涨幅大幅下滑，北上广深甚至出现罕见的降幅。进入三月，调控实施一年，二三线城市开始大幅上涨，以西安为例，3月涨幅高达67%。济南、郑州、合肥、武汉等城市也开始大幅反弹。与此同时，跌幅最凶的北京楼市压力剧增。在过一年，北京与北三县领跌全国。
　　在聚压下，中．美贸易战开始，银行降准，而中央再次释放扩大内需信号，房价反弹迹象明显。
　　4月27日晚间，重磅来袭，央行、证监会、银保监会等四部委联合发布《关于规范金融机构资产管理业务的指导意见。因此，有业内认为，将有100万亿元资管行业面临洗牌，而投资理财市场也将面临巨变。同时，中信证券明明团队的测算则显示，在新规实施后，我国将有4万亿资金流向股票以及房地产市场。
　　很多机构开始看好楼市，并纷纷预测房价将迎来新一轮涨幅。如经济学家、华夏时报总编辑水皮 ，他日前的关电视：2018年，赶紧伺机买房！。水皮说：大家都很关注的楼市，2017年房地产规律失灵了，有不少二线城市开始出现房价暴涨、疯抢新房的现象。在水皮看来，2018年又将是一个跑不动的年份，但在跑不动的年份，房地产能不能再做投资？
　　水皮建议是，就因为它跑不动了，所以，恰恰是投资者可以做选择的时候，捡漏的时刻来了赶紧抓住。
　　水皮依然看好一线城市的房地产市场。
　　有投资客社交平台留言说：2008年开放房地产，全球热钱拼命进入中国，房价暴涨。 2018年开放金融（资本）市场，全球热钱……你们懂得
　　对于2018年的房价，你怎么看？
责任编辑：刘万里 SF014"
乱挥贸易大棒引发众怒 美国当心赔了夫人又折兵,2018-05-01 09:28,http://finance.sina.com.cn/world/gjcj/2018-05-01/doc-ifzvpatr7437643.shtml,"　　乱挥贸易大棒引发众怒 美国当心赔了夫人又折兵
　　人民日报海外版 
　　贸易大棒引发众怒 各国争谋多边合作
　　美国当心赔了夫人又折兵
　　4月23日-27日，世界贸易组织（WTO）异常繁忙。除了举行3场贸易救济相关的会议外，还召开了WTO争端解决机构（DSB）例会。
　　在一周的会议中，美国已成众矢之的：除“301调查”之外，美方还面临各方面对其在钢铝关税的“232调查”和对太阳能面板及洗衣机征收高关税等行为的质疑，而美方试图阻挠WTO上诉机构开启法官甄选程序也受到高度关注。
　　中国战队 阵容扩大
　　5月1日，是美国钢铝关税豁免的部分国家豁免期到期的日子。
　　美国总统特朗普3月8日宣布，对进口钢铁和铝产品分别征收25%和10%的关税。3月22日，美国表示暂时豁免对欧盟、阿根廷、澳大利亚、巴西、加拿大、墨西哥、韩国等经济体的钢铝关税，豁免期于5月1日结束。
　　美国单方面加征高额钢铝关税违反世界贸易组织规定。分析认为，加征钢铝关税是美国挥舞贸易保护主义大棒的第一个大动作，是经济霸权主义前所未有的傲慢表现。
　　随着关税豁免到期日临近，那些曾暂获关税豁免的国家陷入深深的焦虑当中，纷纷向世界贸易组织对美国提起申诉，希望在世界贸易组织的框架内解决问题。
　　俄罗斯卫星网援引世贸组织公布的欧盟声明称：“欧盟特此知会美国政府、中国政府及世贸组织争端解决机构，鉴于巨大的贸易利益，欧盟要求加入中国于2018年4月5日向世贸组织成员国通报要求的主题为‘美国对钢铁和铝制品采取某些措施’的磋商。”中国香港、印度、俄罗斯和泰国也均已提出要求加入这项磋商。此外，挪威、新加坡、瑞士、土耳其、委内瑞拉等国也表达了对美国对金属类产品加征关税的失望与忧心。
　　北京大学国际政治经济研究中心主任王勇在接受本报采访时说：“对美磋商阵营已有多个颇具影响的经济体，反映了美国以国家安全为名加征钢铝关税的确不得人心。”
　　此次WTO的磋商日程集中针对美国，除了钢铝关税的磋商外，对美方对太阳能面板及洗衣机征收高关税，中国、韩国、日本和欧盟都表示非常不满。
　　左右摇摆 欧盟犯难
　　据路透社报道，在获得美国临时豁免钢铝关税的对象中，欧盟是第一个要求加入世界贸易组织争端解决的经济体。
　　“在美国钢铝税问题上，欧盟和中国都是反对的。”全球化智库高级研究员何伟文表示，“这说明在维护世贸组织规则上，欧盟和中国立场一致。”
　　王勇则表示，尽管欧盟加入中国发起的对美贸易磋商，并不意味着欧盟准备在中美贸易战中站到中国这边。路透社报道称，主管经济和金融事务的欧盟委员皮埃尔·莫斯科维奇表示，欧洲既不会支持美国，也不会支持中国。他说：“选边站意味着我们将进入对抗氛围，这不是处理问题的办法。”
　　继法国总统马克龙访美后，德国总理默克尔于4月27日访美。分析认为，法德两国领导人陆续访美的一个重要目的，就是要求美国对欧盟钢铁和铝制品永久性豁免关税。同时，默克尔访美前夕依然强调自由贸易的重要性：“相信多边合作可以增加每个人的价值，这也是我们大力主张基于共同准则，尽可能进行全球自由贸易的原因。”
　　“这反映了欧盟在面对中国和美国时左右为难的矛盾心态。”王勇认为，欧盟一方面希望维护全球自由贸易体系，在世贸组织框架下通过多边谈判解决贸易争端问题；另一方面希望获得美国关税豁免的特权，在贸易保护主义大棒下独善其身。
　　“美国试图利用‘232调查’构筑一个针对中、俄等国的国际统一战线，希望欧、日、韩、澳等经济体可以成为与之并肩战斗的盟友。”王勇说，这些国家能否拿到钢铝关税永久豁免权要看他们在中东问题、世界贸易组织框架内的问题以及中国问题上的表态。
　　分析认为，要回击美国的贸易打压，中国主要还得靠自己的力量，不能对欧盟等经济体寄予太多希望。一是美国可以通过豁免一些国家而分化反对者的态度，二是大部分受侵害的国家经济体量比较小，有的政治和安全上严重依赖美国，不敢对美坚决抵制。
　　抱团前进 多边合作
　　美国乱挥贸易保护主义大棒让世界很“头疼”。
　　虽然很多国家迫于美国超级大国的威严，不得不唯美国马首是瞻，但“得道多助，失道寡助”的大逻辑依然成立。为降低美国“任性”对自身经济的不利影响，世界各国在耐心与美国进行贸易磋商之余，也开始积极寻求多边贸易合作。
　　为了共同应对美国，欧盟与墨西哥近日加快了合作步伐。双方决定“升级”将近20年前签署的自贸协定条款，以期扩大双方在农业等领域的贸易，减少对美国的经济依赖。
　　亚洲正在美国和中国之间寻求“新的平衡”。《印度教徒报》网站发文称，特朗普的“美国优先”和保护主义做法，促使亚洲向内部转移重心，寻求新的供应链和市场。中国、日本和印度似乎迅速适应了后美国世界秩序的可能性。
　　报道称，特朗普对日本钢铁和铝施加关税之后，时隔8年的中日战略经济对话迅速重新开启。印度也随时准备与中国达成新的地缘经济关系，再加上东京与北京加强接触，一个密切合作的多极化亚洲将得以建立。
　　“北京与新德里之间的喜马拉雅山终于融冰”，据俄新社报道，中印两国领导人于4月27日至28日在中国湖北省武汉市举行非正式会晤。
　　“莫迪和习近平的‘交心’峰会，将为印中关系翻开新篇章”，印度《金融快报》写道，6月莫迪还将再赴中国青岛出席上合组织峰会。
　　“共建‘一带一路’倡议源于中国，但机会和成果属于世界”。在博鳌亚洲论坛2018年年会开幕式上，习近平主席回顾了“一带一路”建设5年来取得的成就，提出把“一带一路”打造成为顺应经济全球化潮流的最广泛国际合作平台。
　　“从历史的角度来看，在国际贸易多边协商机制出现问题的时候，必然会出现单边主义日益泛滥的问题，但经济全球化的潮流是不可逆的。”王勇说。（记者 贾平凡）
责任编辑：张玉洁 SF107"
韩国青瓦台：朝鲜邀请麦当劳和特朗普公司到当地投资,2018-05-01 09:24,http://finance.sina.com.cn/world/gjcj/2018-05-01/doc-ifzvpatr7426477.shtml,"　　原标题：韩方又爆一猛料，就等朝方证实了
　　“环球时报”微信公号4月30日消息，朝韩领导人上周五会晤后发布板门店宣言，外界普遍看好朝鲜半岛局势。
　　今天有媒体报道，据韩国青瓦台官员透露，与会的朝鲜官员曾表示朝鲜欢迎美国来投资，甚至还邀请麦当劳和美国总统特朗普的公司到当地投资。
　　有媒体兴奋表示，麦当劳也许就要开到平壤街头啦！
　　27日，朝鲜和韩国领导人会晤并历史性地发表板门店宣言。韩国青瓦台官员透露，与会朝鲜官员表明希望美国承认朝鲜是“正常国家”，并欢迎美国到当地投资，作为朝鲜经济现代化的一步，并间接邀请美式连锁快餐店麦当劳和美国总统特朗普的公司到当地投资。
　　一名出席了朝韩峰会晚宴的青瓦台外交官员向美国有线新闻网（CNN）表示，朝鲜与会官员称，朝鲜希望得到美国的承认和注资。他说﹕“朝鲜希望美国承认其为正常国家。他们也想要美国到朝鲜投资，欢迎美国赞助商和跨国企业到朝鲜。”
　　这名韩国官员还表示，朝鲜希望经济现代化，而美式快餐连锁店麦当劳和特朗普大厦等都是“现代化”的象征。 
责任编辑：张玉洁 SF107"
